,,,,,,,which_in_the_blowing_problems_apply?,,,,,,,,
bm207,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A little filled sound
bm207,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I felt the pitch of the sound height.
bm207,S06,2,3,2,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Poor pitch
bm207,S06,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Low pitch
bm207,S07,3,3,2,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,You should blow it so that you do not add extra noise with the control at the end of the blowing.
bm207,S11,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I can't breathe.
bm208,S06,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The momentum of breath is unstable
bm208,S06,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Cut off
bm209,S02,2,2,2,2,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Unstable and not blowing properly
bm209,S06,1,1,1,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,The pitch is bad and the breath is wasted
bm209,S06,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,The pitch is extremely bad
bm209,S09,1,1,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"I feel that the shape is not well made than the size of the mouth. Maybe too wide next to it. But because I have a long breath, I will improve if I practice."
bm210,S02,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,The sound is faint and not out properly.
bm210,S07,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,You should do the control at the end of the blow carefully.
bm211,S02,1,1,1,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Outside the problem, air sound"
bm211,S03,1,1,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,-
bm211,S06,1,1,1,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Breath is wasted
bm211,S06,1,1,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,I still need more practice
bm211,S11,1,1,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,There is almost no breath in the tube.
bm212,S02,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,It was pretty much.
bm212,S02,2,1,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,You can change the direction of your breath
bm212,S06,1,1,1,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"The length of the sound is good, but the problem with the breathtaking angle ants"
bm214,S04,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-
bm214,S05,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Rather than a strong breath, I think the breath is too big and the breath will not last."
bm214,S06,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"I have a reverb, but I haven't cheated the dirty sound"
bm214,S06,1,1,1,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,The breath is wasted with poor pitch
bm215,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,The sound was very muffled.
bm215,S04,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-
bm215,S06,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Poor pitch
bm216,S02,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,The sound is not out and it doesn't come out properly.
bm216,S02,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Like a person who has just begun to make the sound
bm216,S02,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Feeling sound
bm216,S10,1,1,1,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"It can be said that the pitch is too high, the direction of the breath is too high, the head tube is too outward, and the attitude is bad. There is almost no breath in the singing mouth, and it sounds only a little."
bm217,S02,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A beginner -like sound and a savory sound
bm217,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Kasuy and dry sound
bm217,S02,3,3,3,3,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Although it was relatively stable, I was worried that the sound was not clear and the amount of breath was large."
bm217,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I was a little worried about the sound of my breath.
bm217,S06,2,1,2,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The sound is out but the breath is wasted
bm217,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Generally
bm218,S02,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,The breath is not in the right position.
bm219,S06,2,2,2,1,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,The angle of breath is not stable
bm219,S09,2,2,2,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"The experience seems to be short, but I think the tone is relatively good. There was no tanging and the sound rise was unclear."
bm220,S02,2,2,2,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The sound was unstable.
bm220,S02,3,3,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I was a little worried about the shaking of the sound
bm220,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"It seemed a little lower in the second half, and it was not enough to grow."
bm220,S03,2,2,1,1,2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-
bm220,S06,1,1,2,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,The pitch rose on the way
bm220,S06,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Sound is unstable
bm221,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"In the second half, I felt the height of the sound."
bm221,S07,3,3,4,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I think the sound is a beautiful category.
bm222,S06,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Unstable sound
bm222,S07,4,4,3,3,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,There is no extra noise and I feel the result of practice.
bm222,S09,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Feeling that the volume is uneven because the power is too much too much
bm223,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I was a little worried about the shaking of the sound.
bm223,S04,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-
bm223,S10,2,2,2,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The pitch is dropping at the end of the blowing. It is blurred with no core. The sound is shaking like a vibrato.
bm224,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I was a little worried about the sound of my breath.
bm224,S02,2,2,2,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A little beginner -like sound
bm224,S05,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,The speed of breath is not supported by the stomach.
bm224,S06,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"The sound quality is not bad, but the amount of breath is low"
bm224,S08,2,3,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I felt that the sound pressure was not stable and the pitch was shaking
bm225,S01,2,3,2,2,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,The control of the exhalation is unstable.
bm225,S02,2,2,2,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"The sound was weak, and the height of the second half was lowered."
bm225,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,The latter half of the breath is weak and has no stability.
bm225,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The sound lacking in clearness
bm225,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Weak and lacks stretching.
bm226,S02,2,2,2,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not beautiful sound
bm226,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,The breath is too strong and the sound is not beautiful.
bm226,S03,3,3,2,3,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-
bm227,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I feel a little taste in the sound.
bm227,S06,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Thick sound
bm227,S10,4,4,4,4,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The tone is crushed. Hard sound. A sound that implanted is strong.
bm228,S02,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,The sound is faint and not out.
bm228,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,The sound is not beautiful
bm228,S06,2,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,It seems to be good if you blow carefully
bm229,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I was a little worried about the shaking of the sound.
bm229,S11,3,3,3,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,The pitch is rising depending on the end part due to the cause or something.
sm300,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A faint and muffled sound.
sm300,S02,2,2,2,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"It was faint, unstable, and the sound was not good."
sm300,S06,3,3,2,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,I have a weak breath and the sound is good
sm300,S09,2,1,1,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Rather than the size of the mouth, I felt that the depth of the ambshire was still exploring, and I felt that the shape of the lip holes was not fixed."
sm306,S01,4,4,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,The attack is a little strong. The way the sound is paid is good.
sm306,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A stable and easy -to -hear sound
sm306,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Stable sound
sm306,S08,2,3,3,2,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"I felt the pitch was high, but the sound pressure was firm, so I felt that if the breath was slightly lower, the pitch would be stable."
sm307,S01,4,5,4,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Somewhat unstable only attack.
sm307,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The sound is weak and has no stability
sm308,S02,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,I just started and I didn't know anything yet
sm308,S02,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,There is no sound at all.
sm308,S02,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,I haven't blown it at all. I'm not grasping the tips for sound.
sm308,S06,1,1,1,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,There is a different sound
sm308,S06,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1 octave has a high sound
sm309,S02,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,There is no sound at all.
sm309,S06,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Too much power. The sound above the octave has come out.
sm309,S08,1,1,1,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,I felt that my mouth was hard
sm310,S02,1,1,1,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,There is no sound properly
sm310,S06,1,1,1,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"It has a breath, but it is not in the singing mouth efficiently"
sm310,S06,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Breath is too strong. The breath is not good at the singing mouth.
sm310,S10,1,1,1,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,The sound is one octave. The breath is too strong and the direction is too high.
sm311,S01,1,1,1,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Because your breath is too upward, it is good to practice your index finger on your chin and put your hands sideways and breathe on your little finger."
sm311,S02,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,The breathtaking place is incorrect.
sm311,S03,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-
sm311,S10,1,1,1,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Ambushure is too tight. There is no breath in the singing mouth, and more than half is running away."
sm312,S02,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,I haven't got any tips on how to make sounds.
sm312,S06,1,1,1,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,It's no longer
sm313,S02,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Interrupted sound
sm313,S06,1,1,1,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,The sound has not continued
sm313,S06,1,1,1,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Practice is required from how to breathe
sm313,S07,2,1,1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,There are signs that a good sound seems to make a good sound.
sm313,S11,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Impression that my mouth is strong and my breath is thin.
sm314,S02,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,There is no breathtaking place. Like the first person who blew today.
sm314,S08,1,1,1,1,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I get the impression that the ambshire is not in place.
sm315,S02,1,1,1,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,There is no sound.
sm315,S02,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,There is no place to breathe.
sm315,S02,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,There is no sound in Kasukas.
sm315,S06,1,1,1,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Not sounded
sm316,S02,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"It's out of the question, just started."
sm316,S02,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,There is no sound.
sm316,S04,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I didn't have the shape of my mouth and felt like it was blowing
sm316,S06,1,1,1,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,There is a different sound
sm316,S08,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,The direction of breath is not organized
sm317,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The sound with a lot of breath
sm317,S06,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,May be improved with vibrato
sm317,S06,2,2,2,2,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Crisp sound
sm318,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Relatively stable sound
sm318,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,The sound was a little taste.
sm318,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Solid sound
sm319,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,It will be better if you work hard to practice long tones
sm319,S07,3,3,3,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,You should devise so that your mouth does not shake.
sm320,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Beautiful clear sound
sm320,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Stable and beautiful sound
sm320,S07,4,3,4,4,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I think it's a good sound as a whole.
sm320,S11,4,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,It can be used in brass band and presentations.
sm322,S03,2,2,1,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-
sm322,S10,1,1,1,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,The sound of the sound is not smooth. Breath is not straight.
sm323,S02,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The sound is interrupted on the way.
sm323,S07,3,4,2,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I think the quality of the sound is good. Practice to maintain long tones is required.
sm324,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Not enough growth.
sm325,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Relatively clear and easy to listen to
sm325,S05,2,3,2,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I think the breath is a little big.
sm325,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,You can apply vibrato
sm325,S09,2,2,3,3,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"It may be because it was short, but it sounded stably. Is it a bit more like a flute -like sound and rich sound? Speaking of the problem list above, I thought that the direction was a little less, but it was not remarkable."
sm326,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Relatively stable sound
sm326,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I have a strong breath.
sm327,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Relatively stable sound with momentum
sm327,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I was a little worried about the amount of breath.
sm327,S11,2,2,1,1,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,The pitch is low.
sm328,S02,2,2,2,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The first sound is bad.
sm328,S02,2,2,2,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The quality of the sound was not beautiful.
sm328,S06,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Low pitch
sm328,S06,2,2,1,2,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Blown inner
sm329,S01,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,stable.
sm329,S05,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,It was a little difficult to compare because the pitch was higher than other samples. I guess it's higher from the first positioning than to go up.
sm329,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Relatively stable
sm329,S09,2,2,2,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"It doesn't mean that there is no problem, but if it is a problem described here, it seems that the size of the mouth is slightly larger. I hope tanging can be a little more tight."
bu400,S09,2,1,2,3,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,I thought I was breathing well. There is a feeling that a lot of breaths that do not sound.
bu401,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A little bit of a bit of a fragrant sound
bu401,S04,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-
bu401,S06,2,2,2,2,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"If you can breathe well, it will be a good sound"
bu402,S01,4,4,4,4,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Somewhat violent impression.
bu402,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I was worried about the sound of my breath.
bu402,S03,1,2,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-
bu402,S04,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-
bu402,S06,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,A little strong and unstable pitch
bu402,S08,3,4,3,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I felt the pitch a little high
bu403,S02,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,The sound is high and kinkin.
bu403,S02,1,1,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,The sound is too high.
bu403,S11,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,The breath is too strong and one octave is ringing.
bu404,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"The sound becomes stronger, weakened or unstable"
bu404,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I was worried about the shaking of the sound
bu404,S06,2,2,2,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Impression that my lips are stiff
bu405,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The sound was interrupted and it was unstable.
bu405,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,He had a strong breath and was interrupted.
bu405,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,The breath is too strong and the sound is interrupted on the way.
bu405,S05,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,The pitch drops because it is not supported by breathing pressure (speed)
bu405,S06,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"If you breathe well and blow it, it will stabilize"
bu405,S06,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The sound is interrupted
bu405,S06,2,2,2,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The sound is not organized
bu406,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,The start is strong.
bu406,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The sound shakes and is not stable.
bu406,S04,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-
bu408,S02,1,1,1,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Those who have just started or have just started
bu408,S04,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-
bu408,S06,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Breath is not in the song efficiently
bu408,S06,1,1,1,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1 octave has a high sound
bu408,S09,1,1,1,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"The breath direction is unstable, and I think how to make the shape of the lip holes is still exploring. There may be aspects that are too breathtaking because the sound on the octave has come out."
bu409,S02,1,1,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,There is no sound at all.
bu409,S02,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I don't know the breathtaking position or the amount of breath. Not blown.
bu410,S02,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"There is no breath, and I can not make a sound properly."
bu410,S02,1,1,1,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Like the first person who blew today. There is no sound at all.
bu410,S06,1,1,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Unpleasant sound
bu411,S02,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Almost air sound
bu411,S06,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I'm working hard and my breath is useless
